member_name,video_id,video_title,analyzed
문금주,HNxKKznyJn8,진심 보법이 남다른 문금주 국회의원 춤사위;;,False
문대림,SZuJVxLxpqA,한덕수를 어떻게 할 것인가? 민주당 내일 의원 총회 연다. 문대림 의원의 결과 예측은?,False
문정복,gjLwI_Sb308,에어드랍 테러 받은 문쌤,False
문진석,xfKgb_OgMP8,"&quot;이 좁은데에 왜 그러셨어요!&quot;...웃으며 문진석 질책하자, 시민들 &#39;폭소&#39;",False
민병덕,LhnbK1GITCE,"대검 차장, 민병덕 주장에 &quot;별건 수사하라는 겁니까?&quot; / #채널A #shorts #30짤",False
박대출,NbNMx-bz4Ik,"김문수, 사무총장 인선 발표! 박대출 의원의 숨겨진 비밀은?",False
박덕흠,Je-4lPEL7sw,"[시선집중][B-CUT NEWS] 4주택자 박덕흠 의원, &quot;집값 올려서 화난다&quot; - 이종훈 (작가)",False
박민규,6uN-8zoqZ3E,들을수록 똑같은 환희 모창능력자 박민규의 &#39;남자답게&#39; ♪ -히든싱어3 15회,False
박범계,8VDMExc3Zx8,"박범계 발의 법안, 이재명 몰랐다? #채널A #shorts #정치시그널나이트",False
박상웅,07trF48T4Qo,박상웅 국회의원의 승리의 동력은? #5자토크 #shorts,False
박상혁,x86wpmenvO4,고입 전 알아야 할 국어 필수 3요소 feat. 박상혁,False
박선원,tYL7ecJ3Ofk,"리박스쿨 배후 실명 공개한 박선원...“국정원 출신 이00, 스카이데일리 활동“",False
박성민,xE-Rt099R8A,"박성민, 이준석 정치적 미래 예언!",False
