member_name,video_id,video_title,analyzed
박형수,pgUl8l_pYfE,에너지 넘치는 임이자 인기짱#박형수국회의원 #최유철의성사랑 #경상북도 #의성군 #상주시,True
박홍근,yJKsHINsXS4,이재명을 몇 번 외쳤는지 맞춰보세요 #박홍근은1번  #지금은이재명,True
박홍배,,박홍배TV,False
박희승,9FRem9FAsVE,판사출신 민주당의원.. 나이브의 끝판왕 #박희승 #김어준,True
배준영,,배준영TV,False
배현진,b6W5A64yE3U,배현진 &quot;설난영 여사 맘고생에도 끝까지… 서울시장 놓쳤으니 대통령은 해야겠죠?&quot; / KNN,True
백선희,8RazCHl6DxM,"백선희 의원 유세 ~ing | 진짜 대한민국, 조국을 위해  #조국혁신당 #백선희 #좋아요 #이재명 #대선 #유세",True
백승아,,백전백승아(백승아TV),False
백종헌,,백종헌Tv,False
백혜련,,백혜련TV,False
복기왕,,복기왕TV,False
부승찬,4RTN7lAaZ7o,&quot;전쟁 준비했어요!!!&quot; 내란세력들 줄빠따 때리는 부승찬 의원,True
서명옥,ZVUSvB5ZUCw,"국민의힘 서명옥, 이재명 대표 응급헬기 특혜 언급하자 야당 의원들 &quot;언급하지 마라&quot;",True
서미화,,서미화TV,False
서범수,y_IY0HPV6pI,"&quot;서영교 의원, 자제하세요!&quot; &quot;서범수 의원, 잘하세요!&quot; / 채널A #shorts #DLAB",True
서삼석,,서삼석TV,False
서영교,fMgLApL4d5Q,[서영교의 민생스킬!] 청도시장을 들썩! 들썩! #인구미래위원회,True
서영석,iNg0eiEHyy0,기나긴 #회의 당 떨어짐 #곶감 #먹방 #서영석 #더불어민주당 #부천시갑 #국회의원 #K-이니셔티브 #대한민국 #대통령 #이재명 #대선 #후보,True
서왕진,,서왕진TV,False
서일준,,서일준TV,False
서지영,ssI_5ug3qGk,&quot;전국의 도련님들&quot;로 화제의 인물인 서지영 의원의 일침  #서지영 #국민의힘 #교육위원회 #정치 #보수 #국회,True
서천호,,서천호,False
성일종,,성일종TV,False
소병훈,,소병훈TV,False
손명수,38ANUubrO88,손명수 - 나는 반딧불,True
송기헌,,송기헌TV,False
송석준,,송석준TV,False
송언석,-e5OCNAkHDs,&#39;당직자에 발길질&#39; 국민의힘 송언석 사과문 보내 / YTN,True
송옥주,,송옥주TV,False
송재봉,,송재봉 TV,False
신동욱,9bp_wyoV8Uo,"🔴LIVE 신동욱 선거대책본부 대변인단 단장, 선거대책위원회 백브리핑 / 25.6.2 / KNN",True
신성범,,신성범TV,False
신영대,,신영대TV,False
신장식,LMFE7E-hm3M,"이준석 ‘여성에게 젓가락’ 발언 듣고… 신장식, 갈라치기 정치에 일침 날렸다 #이재명 #신장식",True
신정훈,,신정훈TV,False
안규백,uOsceumuzqY,"국방위 16년 짬밥의 클래스, 17년 전 기무사령관 부관 맞죠? #국방위 #16년차 #기억력 #안규백",True
안도걸,BgqPQTwFpAs,안도걸 의원 전 ( 기재부 차관)  먹방  시리즈 #더불어민주당 #이재명 #광주동남을 #21대대선 #안도걸 #광주시,True
안상훈,,안상훈TV,False
안철수,CaWsOMVVyvY,그만 구박받고 싶었던 안철수의 깜찍한 실수 / #채널A #shorts #30짤,True
안태준,ig5t8UcBzl8,이재명 후보 선거사무원에게 [대한민국의 미래]를 묻다! #이제부터진짜대한민국 #이재명 #더불어민주당 #경기광주시을,True
안호영,wdSFfZIl1K8,제21대 국회 &quot;300인의 희망인터뷰&quot; 안호영 의원(더불어민주당),True
양문석,,양문석 TV,False
양부남,,양부남TV,False
어기구,,어기구 TV,False
엄태영,,엄태영TV,False
염태영,,염태영TV,False
오기형,,오기형 TV,False
오세희,,오세희TV,False
용혜인,,용혜인,False
우원식,51ZBJBr6NUA,“우원식!!” 소리치며 “정청래로 바꿔!!“ #shorts,True
우재준,RWJc6Hg9dfQ,&quot;존경하고픈 정청래&quot; 시작되자 이어진 위원장 vs 국힘 신경전     #송석준 #우재준 #유상범 #국민의힘 #정청래 #국회 #법사위 #민주당,True
위성곤,,위성곤TV,False
위성락,KM3W3d96EOE,장첸 앞에서 딜치는 위성락《범죄도시》,True
유동수,,유동수TV,False
유상범,,유상범TV,False
유영하,bueCYErjJ1Q,"사전투표 첫날 홍준표 &quot;니들 자업자득&quot; 국힘 폭격에…유영하 &quot;비린 냄새 그만 풍겨라, 왕짜증&quot;｜지금 이 뉴스",True
유용원,,유용원TV,False
윤건영,,윤건영TV,False
윤상현,om9zrpoyhqI,[이런뉴스] 윤상현 “탄핵 반대는 마지막 방어선”…배현진 “자통당 가시라” / KBS 2025.06.02.,True
윤영석,,윤영석TV,False
윤재옥,mBpc8Lw8KUk,🔴윤재옥 총괄선거대책본부장 - 선거대책본부 본부장단 회의 (5/27) | SBS 대선 라이브,True
윤종군,jHR-uUf7FcY,#경기평택오산안성유세 #윤종군 #기호1번 #빛의혁명 #지금은이재명 #잘사니즘 #대한민국의희망_이재명,True
윤종오,,윤종오tv,False
윤준병,,해결사 윤준병,False
윤한홍,,윤한홍희망TV,False
윤호중,,윤호중TV,False
윤후덕,9crPPgWGefk,윤후덕 vs 박용호 공약 현실성 놓고 공방 #딜라이브tv #shorts,True
이강일,,이강일tv,False
이개호,lWl2eyGW1Cc,이개호 국회의원의 4선 비결은? #5자토크 #shorts,True
이건태,,이건태TV,False
이광희,,이광희TV,False
이기헌,,이기헌TV,False
이달희,,이달희TV,False
이만희,5rv4lXLcAPI,"[이만희와 윤석열] &quot;대통령님께 간절히 구합니다&quot; - 자칭, 하늘대통령인 이만희가 이 땅의 대통령에게 했던 말 / #신천지실체 #이만희치매 #신천지교리변개 #이만희 #이만희사망",True
이병진,,이병진TV,False
이상식,,이상식TV,False
이상휘,RFv7jLw7CU4,10초 발언정지 후..이상휘의 신박한(?) 질의 방법,True
이성권,,이성권TV,False
이성윤,hF4EXjvAJxw,[이성윤] 이창수 중앙지검장 사표 받으면 안되는 이유,True
이소영,,이소영TV,False
